obs_id,site_id,site_match_confidence,meta_source,study_citation,location_name,lat,lon,country_continent,koppen_geiger,whittaker_biome,climate_class_paperdefined,forest_change_metric,forest_change_submetric,forest_change_value_type,forest_change_value_point,forest_change_value_min,forest_change_value_max,forest_change_value_sd,forest_change_unit,hydro_response_metric,hydro_response_value_type,hydro_response_value_point,hydro_response_value_min,hydro_response_value_max,hydro_response_value_sd,hydro_response_unit,method_analysis,method_forest_change_measurement,method_hydro_response_measurement,watershed_area_km2,precip_mm_yr,spatial_scale,notes_flags,figure_table_source
zhang2017_201,,,"Zhang et al., 2017","Wang et al.,2009",LuErGou watershed,,,,,,,forest_cover_change,,point,4,,,,%,runoff,point,0,,,,%,SH,% cover change (source study),catchment water balance,12,570,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_202,site_lynx_ck,exact,"Zhang et al., 2017","Mahat et al.,2016",Lynx Ck,49.8,-113.2,North America,Dfb,Boreal forest,,forest_cover_change,,point,-67,,,,%,runoff,point,15,,,,%,"QPW, EA",% cover change (source study),catchment water balance,8.21,1092,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #100, Lynx Ck) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_203,,,"Zhang et al., 2017","Yu et al.,2015",Lysina watershed,,,,,,,forest_cover_change,,point,-54,,,,%,runoff,point,-9.5,,,,%,HM,% cover change (source study),catchment water balance,610,834.5,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_204,,,"Zhang et al., 2017","Buttle and Metcalfe, 2000","M2, Canada",,,,,,,forest_cover_change,,point,-4.9,,,,%,runoff,point,0,,,,%,QPW,% cover change (source study),catchment water balance,401,895,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_205,,,"Zhang et al., 2017","Dung et al.,2012",M5,,,,,,,forest_cover_change,,point,-43.2,,,,%,runoff,point,35.2,,,,%,PWE,% cover change (source study),catchment water balance,0.0035,1987,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_206,site_mabegondo,exact,"Zhang et al., 2017","Rodriguez Suarez,2014",Mabegondo,8.3,-43.2,Europe (flagged — see note),Cfb (flagged — see note),Temperate seasonal forest (flagged — see note),,forest_cover_change,,point,80,,,,%,runoff,point,-22,,,,%,HM,% cover change (source study),catchment water balance,0.1,1490,small,"lat/lon/koppen/whittaker borrowed from Yang et al. 2023 match (catchment #101, Mabegondo) - confidence=exact, not manually verified as identical sub-watershed; precip data source type (per Zhang appendix): OB",Appendix A Table A1
zhang2017_207,,,"Zhang et al., 2017","Pearce et al.,1976","Maimai, New Zealand, M7",,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,43.3,,,,%,PWE,% cover change (source study),catchment water balance,0.0414,2600,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_208,,,"Zhang et al., 2017","Pearce et al.,1976","Maimai, New Zealand, M9",,,,,,,forest_cover_change,,point,-75,,,,%,runoff,point,36,,,,%,PWE,% cover change (source study),catchment water balance,0.0826,2600,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_209,,,"Zhang et al., 2017","Hornbeck et at. ,1993","Marcell ,MN #4",,,,,,,forest_cover_change,,point,-100,,,,%,runoff,point,27.3,,,,%,PWE,% cover change (source study),catchment water balance,0.34,760,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_210,,,"Zhang et al., 2017","Bari et al., 1996",March Rd.,,,,,,,forest_cover_change,,point,100,,,,%,runoff,point,147.6,,,,%,PWE,% cover change (source study),catchment water balance,2.48,1070,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_211,,,"Zhang et al., 2017","Edwards and Blackie,1981",Mbeya,,,,,,,forest_cover_change,,point,-50,,,,%,runoff,point,33,,,,%,PWE,% cover change (source study),catchment water balance,0.202,1658,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_212,,,"Zhang et al., 2017","Van Lill et al., 1980","Mokobuloan, South Africa:C A",,,,,,,forest_cover_change,,point,100,,,,%,runoff,point,-196.5,,,,%,PWE,% cover change (source study),catchment water balance,0.26,1150,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_213,,,"Zhang et al., 2017",O’Shaughnessy et al. (1979); Watson et al. (2001),Monda 1,,,,,,,forest_cover_change,,point,75,,,,%,runoff,point,43,,,,%,PWE,% cover change (source study),catchment water balance,0.63,1876,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
zhang2017_214,,,"Zhang et al., 2017",O’Shaughnessy et al. (1979); Watson et al. (2001),Monda 2,,,,,,,forest_cover_change,,point,75,,,,%,runoff,point,104,,,,%,PWE,% cover change (source study),catchment water balance,0.04,1813,small,precip data source type (per Zhang appendix): OB,Appendix A Table A1
